"","session","alpha","beta","betart","lapse","intercept","sigma","ndt","participant_id","sessions","trials","alpha_obs_power","beta_obs_power","n","rts","resp","X","iter","real_effectsize_alpha","real_effectsize_beta","subjects","parameter","observed_effectsize_alpha","observed_effectsize_beta"
"1","session1",-20.4900850494485,8.80018495095903,1.69388352699819,0.000277665855994525,1.43486744003418,0.29360173518572,0.0832000680560408,1,1,100,0.390946366571722,-0.86335379925087,1,7.91878646226175,1,-10.3465121601,1752,1,0.6,20,"both",0.390946366571722,-0.86335379925087
"2","session1",-20.4900850494485,8.80018495095903,1.69388352699819,0.000277665855994525,1.43486744003418,0.29360173518572,0.0832000680560408,1,1,100,0.390946366571722,-0.86335379925087,1,6.14873306489366,1,-12.454307646,1752,1,0.6,20,"both",0.390946366571722,-0.86335379925087
"3","session1",-20.4900850494485,8.80018495095903,1.69388352699819,0.000277665855994525,1.43486744003418,0.29360173518572,0.0832000680560408,1,1,100,0.390946366571722,-0.86335379925087,1,6.90524546048625,1,-22.52553422,1752,1,0.6,20,"both",0.390946366571722,-0.86335379925087
"4","session1",-20.4900850494485,8.80018495095903,1.69388352699819,0.000277665855994525,1.43486744003418,0.29360173518572,0.0832000680560408,1,1,100,0.390946366571722,-0.86335379925087,1,5.82811769488297,0,-26.20225757,1752,1,0.6,20,"both",0.390946366571722,-0.86335379925087
"5","session1",-20.4900850494485,8.80018495095903,1.69388352699819,0.000277665855994525,1.43486744003418,0.29360173518572,0.0832000680560408,1,1,100,0.390946366571722,-0.86335379925087,1,7.59051624480998,1,-24.58103,1752,1,0.6,20,"both",0.390946366571722,-0.86335379925087
"6","session1",-20.4900850494485,8.80018495095903,1.69388352699819,0.000277665855994525,1.43486744003418,0.29360173518572,0.0832000680560408,1,1,100,0.390946366571722,-0.86335379925087,1,7.26722243967895,0,-21.90402,1752,1,0.6,20,"both",0.390946366571722,-0.86335379925087
"7","session1",-20.4900850494485,8.80018495095903,1.69388352699819,0.000277665855994525,1.43486744003418,0.29360173518572,0.0832000680560408,1,1,100,0.390946366571722,-0.86335379925087,1,4.23642846390092,1,-21.15626,1752,1,0.6,20,"both",0.390946366571722,-0.86335379925087
"8","session1",-20.4900850494485,8.80018495095903,1.69388352699819,0.000277665855994525,1.43486744003418,0.29360173518572,0.0832000680560408,1,1,100,0.390946366571722,-0.86335379925087,1,5.16572270139731,0,-9.5118,1752,1,0.6,20,"both",0.390946366571722,-0.86335379925087
"9","session1",-20.4900850494485,8.80018495095903,1.69388352699819,0.000277665855994525,1.43486744003418,0.29360173518572,0.0832000680560408,1,1,100,0.390946366571722,-0.86335379925087,1,4.75309769470212,0,-44.91972,1752,1,0.6,20,"both",0.390946366571722,-0.86335379925087
"10","session1",-20.4900850494485,8.80018495095903,1.69388352699819,0.000277665855994525,1.43486744003418,0.29360173518572,0.0832000680560408,1,1,100,0.390946366571722,-0.86335379925087,1,4.25423319277963,0,-21.99372,1752,1,0.6,20,"both",0.390946366571722,-0.86335379925087
"11","session1",-20.4900850494485,8.80018495095903,1.69388352699819,0.000277665855994525,1.43486744003418,0.29360173518572,0.0832000680560408,1,1,100,0.390946366571722,-0.86335379925087,1,4.45799701994016,1,-6.60086834569,1752,1,0.6,20,"both",0.390946366571722,-0.86335379925087
"12","session1",-20.4900850494485,8.80018495095903,1.69388352699819,0.000277665855994525,1.43486744003418,0.29360173518572,0.0832000680560408,1,1,100,0.390946366571722,-0.86335379925087,1,4.33955870377535,0,-43.0841,1752,1,0.6,20,"both",0.390946366571722,-0.86335379925087
"13","session1",-20.4900850494485,8.80018495095903,1.69388352699819,0.000277665855994525,1.43486744003418,0.29360173518572,0.0832000680560408,1,1,100,0.390946366571722,-0.86335379925087,1,8,0,-14.431626225,1752,1,0.6,20,"both",0.390946366571722,-0.86335379925087
"14","session1",-20.4900850494485,8.80018495095903,1.69388352699819,0.000277665855994525,1.43486744003418,0.29360173518572,0.0832000680560408,1,1,100,0.390946366571722,-0.86335379925087,1,3.772391489173,1,37.7573,1752,1,0.6,20,"both",0.390946366571722,-0.86335379925087
"15","session1",-20.4900850494485,8.80018495095903,1.69388352699819,0.000277665855994525,1.43486744003418,0.29360173518572,0.0832000680560408,1,1,100,0.390946366571722,-0.86335379925087,1,7.83734095314675,0,-26.87317,1752,1,0.6,20,"both",0.390946366571722,-0.86335379925087
"16","session1",-20.4900850494485,8.80018495095903,1.69388352699819,0.000277665855994525,1.43486744003418,0.29360173518572,0.0832000680560408,1,1,100,0.390946366571722,-0.86335379925087,1,8,1,-11.4648568766,1752,1,0.6,20,"both",0.390946366571722,-0.86335379925087
"17","session1",-20.4900850494485,8.80018495095903,1.69388352699819,0.000277665855994525,1.43486744003418,0.29360173518572,0.0832000680560408,1,1,100,0.390946366571722,-0.86335379925087,1,2.43442178031219,1,3.37052,1752,1,0.6,20,"both",0.390946366571722,-0.86335379925087
