"","session","alpha","beta","betart","lapse","intercept","sigma","ndt","participant_id","sessions","trials","alpha_obs_power","beta_obs_power","n","rts","resp","X","iter","real_effectsize_alpha","real_effectsize_beta","subjects","parameter","observed_effectsize_alpha","observed_effectsize_beta"
"1","session1",-22.2190478805085,12.2310114725518,2.06392613695873,8.99895432329299e-05,1.00955519261216,0.345207485820075,0.163362877509074,1,1,100,0.802035134149086,-0.255475656568026,1,4.31252232004706,1,-9.5354026327,5156,0.6,0,15,"both",0.802035134149086,-0.255475656568026
"2","session1",-22.2190478805085,12.2310114725518,2.06392613695873,8.99895432329299e-05,1.00955519261216,0.345207485820075,0.163362877509074,1,1,100,0.802035134149086,-0.255475656568026,1,6.21002372567879,1,-9.7464530959,5156,0.6,0,15,"both",0.802035134149086,-0.255475656568026
"3","session1",-22.2190478805085,12.2310114725518,2.06392613695873,8.99895432329299e-05,1.00955519261216,0.345207485820075,0.163362877509074,1,1,100,0.802035134149086,-0.255475656568026,1,7.4931581368214,0,-16.3587367674,5156,0.6,0,15,"both",0.802035134149086,-0.255475656568026
"4","session1",-22.2190478805085,12.2310114725518,2.06392613695873,8.99895432329299e-05,1.00955519261216,0.345207485820075,0.163362877509074,1,1,100,0.802035134149086,-0.255475656568026,1,4.43304577417372,1,-13.8656407397,5156,0.6,0,15,"both",0.802035134149086,-0.255475656568026
"5","session1",-22.2190478805085,12.2310114725518,2.06392613695873,8.99895432329299e-05,1.00955519261216,0.345207485820075,0.163362877509074,1,1,100,0.802035134149086,-0.255475656568026,1,3.20363734585958,0,-35.7519,5156,0.6,0,15,"both",0.802035134149086,-0.255475656568026
"6","session1",-22.2190478805085,12.2310114725518,2.06392613695873,8.99895432329299e-05,1.00955519261216,0.345207485820075,0.163362877509074,1,1,100,0.802035134149086,-0.255475656568026,1,2.79404235831416,1,-6.1198,5156,0.6,0,15,"both",0.802035134149086,-0.255475656568026
"7","session1",-22.2190478805085,12.2310114725518,2.06392613695873,8.99895432329299e-05,1.00955519261216,0.345207485820075,0.163362877509074,1,1,100,0.802035134149086,-0.255475656568026,1,3.70853221363751,0,-24.08558,5156,0.6,0,15,"both",0.802035134149086,-0.255475656568026
"8","session1",-22.2190478805085,12.2310114725518,2.06392613695873,8.99895432329299e-05,1.00955519261216,0.345207485820075,0.163362877509074,1,1,100,0.802035134149086,-0.255475656568026,1,4.27731743101799,1,-15.79362,5156,0.6,0,15,"both",0.802035134149086,-0.255475656568026
"9","session1",-22.2190478805085,12.2310114725518,2.06392613695873,8.99895432329299e-05,1.00955519261216,0.345207485820075,0.163362877509074,1,1,100,0.802035134149086,-0.255475656568026,1,2.78109899881931,1,-10.11625,5156,0.6,0,15,"both",0.802035134149086,-0.255475656568026
"10","session1",-22.2190478805085,12.2310114725518,2.06392613695873,8.99895432329299e-05,1.00955519261216,0.345207485820075,0.163362877509074,1,1,100,0.802035134149086,-0.255475656568026,1,8,1,-19.08389,5156,0.6,0,15,"both",0.802035134149086,-0.255475656568026
"11","session1",-22.2190478805085,12.2310114725518,2.06392613695873,8.99895432329299e-05,1.00955519261216,0.345207485820075,0.163362877509074,1,1,100,0.802035134149086,-0.255475656568026,1,3.24689590070106,0,-32.40037,5156,0.6,0,15,"both",0.802035134149086,-0.255475656568026
"12","session1",-22.2190478805085,12.2310114725518,2.06392613695873,8.99895432329299e-05,1.00955519261216,0.345207485820075,0.163362877509074,1,1,100,0.802035134149086,-0.255475656568026,1,2.61875800460868,0,-31.53702,5156,0.6,0,15,"both",0.802035134149086,-0.255475656568026
"13","session1",-22.2190478805085,12.2310114725518,2.06392613695873,8.99895432329299e-05,1.00955519261216,0.345207485820075,0.163362877509074,1,1,100,0.802035134149086,-0.255475656568026,1,6.06743500107965,1,-14.66883,5156,0.6,0,15,"both",0.802035134149086,-0.255475656568026
