"","participant_id","sessions","lapse","alpha","beta","id","trials","alpha_obs_power","beta_obs_power","resp","X","Estimatedthreshold","Estimatedslope","q5_threshold","q95_threshold","q5_slope","q95_slope","iter","real_effectsize_alpha","real_effectsize_beta","subjects","observed_effectsize_alpha","observed_effectsize_beta"
"1",1,1,0.0347935066903756,-0.842455297605058,9.18171902775295,1,100,0.199801970689665,-0.391954619478507,1,-0.5,5.55111512312578e-17,12.55,47.5,-48.5,24.3,0.7,41,0,0.4,40,0.199801970689665,-0.391954619478507
"2",1,1,0.0347935066903756,-0.842455297605058,9.18171902775295,1,100,0.199801970689665,-0.391954619478507,0,-23.5,-23.2454225448709,12.5505534751657,16.5,-49.5,24.3,0.7,41,0,0.4,40,0.199801970689665,-0.391954619478507
"3",1,1,0.0347935066903756,-0.842455297605058,9.18171902775295,1,100,0.199801970689665,-0.391954619478507,0,-11.5,-10.8970099126072,12.8754813251197,24.5,-41.5,24.4,0.7,41,0,0.4,40,0.199801970689665,-0.391954619478507
"4",1,1,0.0347935066903756,-0.842455297605058,9.18171902775295,1,100,0.199801970689665,-0.391954619478507,0,0.5,-1.93826635262624,13.0454725452802,32.5,-27.5,24.4,0.7,41,0,0.4,40,0.199801970689665,-0.391954619478507
"5",1,1,0.0347935066903756,-0.842455297605058,9.18171902775295,1,100,0.199801970689665,-0.391954619478507,1,12.5,7.75653845329188,15.5025157459296,41.5,-16.5,24.6,2.9,41,0,0.4,40,0.199801970689665,-0.391954619478507
"6",1,1,0.0347935066903756,-0.842455297605058,9.18171902775295,1,100,0.199801970689665,-0.391954619478507,0,6.5,1.61959400129789,14.5918551482377,24.5,-19.5,24.5,2.8,41,0,0.4,40,0.199801970689665,-0.391954619478507
"7",1,1,0.0347935066903756,-0.842455297605058,9.18171902775295,1,100,0.199801970689665,-0.391954619478507,1,14.5,7.81910177394295,16.2159591631001,31.5,-11.5,24.6,4.8,41,0,0.4,40,0.199801970689665,-0.391954619478507
"8",1,1,0.0347935066903756,-0.842455297605058,9.18171902775295,1,100,0.199801970689665,-0.391954619478507,1,10.5,4.62724027352378,15.3609287663276,23.5,-13.5,24.5,4.2,41,0,0.4,40,0.199801970689665,-0.391954619478507
"9",1,1,0.0347935066903756,-0.842455297605058,9.18171902775295,1,100,0.199801970689665,-0.391954619478507,0,-5.5,2.1930164240448,14.7253094672457,17.5,-15.5,24.4,3.9,41,0,0.4,40,0.199801970689665,-0.391954619478507
"10",1,1,0.0347935066903756,-0.842455297605058,9.18171902775295,1,100,0.199801970689665,-0.391954619478507,1,13.5,4.04643665880131,13.9288765737273,18.5,-11.5,24.3,3.5,41,0,0.4,40,0.199801970689665,-0.391954619478507
"11",1,1,0.0347935066903756,-0.842455297605058,9.18171902775295,1,100,0.199801970689665,-0.391954619478507,0,-4.5,2.73908114743931,13.1196586735307,15.5,-11.5,24.2,3.1,41,0,0.4,40,0.199801970689665,-0.391954619478507
"12",1,1,0.0347935066903756,-0.842455297605058,9.18171902775295,1,100,0.199801970689665,-0.391954619478507,1,12.5,4.09537943653928,12.2535640218631,16.5,-8.5,24,2.6,41,0,0.4,40,0.199801970689665,-0.391954619478507
"13",1,1,0.0347935066903756,-0.842455297605058,9.18171902775295,1,100,0.199801970689665,-0.391954619478507,1,-4.5,3.14481554664757,11.4206230794001,13.5,-9.5,23.8,2.2,41,0,0.4,40,0.199801970689665,-0.391954619478507
"14",1,1,0.0347935066903756,-0.842455297605058,9.18171902775295,1,100,0.199801970689665,-0.391954619478507,0,-10.5,0.137318520035581,14.1791687594634,11.5,-13.5,24.3,4.9,41,0,0.4,40,0.199801970689665,-0.391954619478507
"15",1,1,0.0347935066903756,-0.842455297605058,9.18171902775295,1,100,0.199801970689665,-0.391954619478507,0,-9.5,1.05515225989767,13.4719207026058,11.5,-10.5,24.1,4.7,41,0,0.4,40,0.199801970689665,-0.391954619478507
"16",1,1,0.0347935066903756,-0.842455297605058,9.18171902775295,1,100,0.199801970689665,-0.391954619478507,1,12.5,1.79630549051858,12.8234962509748,12.5,-8.5,23.9,4.5,41,0,0.4,40,0.199801970689665,-0.391954619478507
