"","participant_id","sessions","lapse","alpha","beta","id","trials","alpha_obs_power","beta_obs_power","resp","X","Estimatedthreshold","Estimatedslope","q5_threshold","q95_threshold","q5_slope","q95_slope","iter","real_effectsize_alpha","real_effectsize_beta","subjects","observed_effectsize_alpha","observed_effectsize_beta"
"1",1,1,0.00470758435255499,-14.7708325688523,7.73451523848335,1,100,0.305536589465906,-0.569465512040143,1,-0.5,5.55111512312578e-17,12.55,47.5,-48.5,24.3,0.7,11,0,1,40,0.305536589465906,-0.569465512040143
"2",1,1,0.00470758435255499,-14.7708325688523,7.73451523848335,1,100,0.305536589465906,-0.569465512040143,0,-23.5,-23.2454225448709,12.5505534751657,16.5,-49.5,24.3,0.7,11,0,1,40,0.305536589465906,-0.569465512040143
"3",1,1,0.00470758435255499,-14.7708325688523,7.73451523848335,1,100,0.305536589465906,-0.569465512040143,1,-11.5,-10.8970099126072,12.8754813251197,24.5,-41.5,24.4,0.7,11,0,1,40,0.305536589465906,-0.569465512040143
"4",1,1,0.00470758435255499,-14.7708325688523,7.73451523848335,1,100,0.305536589465906,-0.569465512040143,0,-19.5,-19.8280021668957,12.7060166830809,3.5,-45.5,24.3,0.7,11,0,1,40,0.305536589465906,-0.569465512040143
"5",1,1,0.00470758435255499,-14.7708325688523,7.73451523848335,1,100,0.305536589465906,-0.569465512040143,1,-14.5,-14.1353296613054,11.9273288094376,7.5,-35.5,24.3,0.6,11,0,1,40,0.305536589465906,-0.569465512040143
"6",1,1,0.00470758435255499,-14.7708325688523,7.73451523848335,1,100,0.305536589465906,-0.569465512040143,1,-21.5,-18.4727917210151,11.5117120702662,-2.5,-38.5,24.3,0.5,11,0,1,40,0.305536589465906,-0.569465512040143
"7",1,1,0.00470758435255499,-14.7708325688523,7.73451523848335,1,100,0.305536589465906,-0.569465512040143,0,-29.5,-23.393006081063,14.553007591522,-7.5,-44.5,24.5,2.7,11,0,1,40,0.305536589465906,-0.569465512040143
"8",1,1,0.00470758435255499,-14.7708325688523,7.73451523848335,1,100,0.305536589465906,-0.569465512040143,0,-28.5,-20.85479937907,13.3368086327534,-5.5,-38.5,24.3,2.4,11,0,1,40,0.305536589465906,-0.569465512040143
"9",1,1,0.00470758435255499,-14.7708325688523,7.73451523848335,1,100,0.305536589465906,-0.569465512040143,1,-12.5,-19.1812396102026,12.2633193293435,-4.5,-33.5,24.2,2.1,11,0,1,40,0.305536589465906,-0.569465512040143
"10",1,1,0.00470758435255499,-14.7708325688523,7.73451523848335,1,100,0.305536589465906,-0.569465512040143,0,-27.5,-20.58528386034,11.2172491615451,-8.5,-34.5,24,1.8,11,0,1,40,0.305536589465906,-0.569465512040143
"11",1,1,0.00470758435255499,-14.7708325688523,7.73451523848335,1,100,0.305536589465906,-0.569465512040143,0,-13.5,-19.4645880067724,10.12084022457,-8.5,-30.5,23.7,1.6,11,0,1,40,0.305536589465906,-0.569465512040143
"12",1,1,0.00470758435255499,-14.7708325688523,7.73451523848335,1,100,0.305536589465906,-0.569465512040143,1,-7.5,-16.5846247848608,13.2465612567321,-3.5,-28.5,24.2,3.6,11,0,1,40,0.305536589465906,-0.569465512040143
"13",1,1,0.00470758435255499,-14.7708325688523,7.73451523848335,1,100,0.305536589465906,-0.569465512040143,1,-8.5,-17.6099062504462,12.3588893948813,-6.5,-29.5,24.1,3.3,11,0,1,40,0.305536589465906,-0.569465512040143
"14",1,1,0.00470758435255499,-14.7708325688523,7.73451523848335,1,100,0.305536589465906,-0.569465512040143,0,-27.5,-18.3814874390819,11.5637680925414,-9.5,-29.5,23.9,3.1,11,0,1,40,0.305536589465906,-0.569465512040143
"15",1,1,0.00470758435255499,-14.7708325688523,7.73451523848335,1,100,0.305536589465906,-0.569465512040143,0,-8.5,-17.6622711595204,10.7295808864873,-8.5,-27.5,23.6,3,11,0,1,40,0.305536589465906,-0.569465512040143
"16",1,1,0.00470758435255499,-14.7708325688523,7.73451523848335,1,100,0.305536589465906,-0.569465512040143,1,-3.5,-15.339752306942,13.9118291490978,-4.5,-26.5,24.2,4.9,11,0,1,40,0.305536589465906,-0.569465512040143
"17",1,1,0.00470758435255499,-14.7708325688523,7.73451523848335,1,100,0.305536589465906,-0.569465512040143,0,-27.5,-15.9891785545321,13.2504133985238,-6.5,-26.5,24.1,4.7,11,0,1,40,0.305536589465906,-0.569465512040143
"18",1,1,0.00470758435255499,-14.7708325688523,7.73451523848335,1,100,0.305536589465906,-0.569465512040143,1,-4.5,-15.434485565063,12.6238703003076,-6.5,-24.5,23.9,4.5,11,0,1,40,0.305536589465906,-0.569465512040143
"19",1,1,0.00470758435255499,-14.7708325688523,7.73451523848335,1,100,0.305536589465906,-0.569465512040143,0,-26.5,-15.9687118254808,11.9778187907999,-7.5,-25.5,23.6,4.4,11,0,1,40,0.305536589465906,-0.569465512040143
