"","session","alpha","beta","betart","lapse","intercept","sigma","ndt","participant_id","sessions","trials","alpha_obs_power","beta_obs_power","n","rts","resp","X","iter","real_effectsize_alpha","real_effectsize_beta","subjects","parameter","observed_effectsize_alpha","observed_effectsize_beta"
"1","session1",-28.0879038332357,26.6871675226392,4.16439595323445,2.88550885491147e-06,0.240283248010173,0.329508289368079,0.244277674513097,1,1,100,-0.424903010186466,0.879413816281305,1,4.81794279444416,1,-6.4585692634,475,0,0.2,20,"both",-0.424903010186466,0.879413816281305
"2","session1",-28.0879038332357,26.6871675226392,4.16439595323445,2.88550885491147e-06,0.240283248010173,0.329508289368079,0.244277674513097,1,1,100,-0.424903010186466,0.879413816281305,1,2.25758151168499,0,-10.8863076735,475,0,0.2,20,"both",-0.424903010186466,0.879413816281305
"3","session1",-28.0879038332357,26.6871675226392,4.16439595323445,2.88550885491147e-06,0.240283248010173,0.329508289368079,0.244277674513097,1,1,100,-0.424903010186466,0.879413816281305,1,3.96820012608915,1,-3.666064331542,475,0,0.2,20,"both",-0.424903010186466,0.879413816281305
"4","session1",-28.0879038332357,26.6871675226392,4.16439595323445,2.88550885491147e-06,0.240283248010173,0.329508289368079,0.244277674513097,1,1,100,-0.424903010186466,0.879413816281305,1,1.55380594038862,1,-7.9877895975,475,0,0.2,20,"both",-0.424903010186466,0.879413816281305
"5","session1",-28.0879038332357,26.6871675226392,4.16439595323445,2.88550885491147e-06,0.240283248010173,0.329508289368079,0.244277674513097,1,1,100,-0.424903010186466,0.879413816281305,1,2.14317501479529,1,31.04864,475,0,0.2,20,"both",-0.424903010186466,0.879413816281305
"6","session1",-28.0879038332357,26.6871675226392,4.16439595323445,2.88550885491147e-06,0.240283248010173,0.329508289368079,0.244277674513097,1,1,100,-0.424903010186466,0.879413816281305,1,4.14374145476462,1,-11.577151547,475,0,0.2,20,"both",-0.424903010186466,0.879413816281305
"7","session1",-28.0879038332357,26.6871675226392,4.16439595323445,2.88550885491147e-06,0.240283248010173,0.329508289368079,0.244277674513097,1,1,100,-0.424903010186466,0.879413816281305,1,3.71627104258909,1,-16.049126637,475,0,0.2,20,"both",-0.424903010186466,0.879413816281305
"8","session1",-28.0879038332357,26.6871675226392,4.16439595323445,2.88550885491147e-06,0.240283248010173,0.329508289368079,0.244277674513097,1,1,100,-0.424903010186466,0.879413816281305,1,2.75708120332669,1,-38.34582,475,0,0.2,20,"both",-0.424903010186466,0.879413816281305
"9","session1",-28.0879038332357,26.6871675226392,4.16439595323445,2.88550885491147e-06,0.240283248010173,0.329508289368079,0.244277674513097,1,1,100,-0.424903010186466,0.879413816281305,1,3.06352416256624,1,-1.1416,475,0,0.2,20,"both",-0.424903010186466,0.879413816281305
"10","session1",-28.0879038332357,26.6871675226392,4.16439595323445,2.88550885491147e-06,0.240283248010173,0.329508289368079,0.244277674513097,1,1,100,-0.424903010186466,0.879413816281305,1,1.35320486073228,1,44.8905,475,0,0.2,20,"both",-0.424903010186466,0.879413816281305
"11","session1",-28.0879038332357,26.6871675226392,4.16439595323445,2.88550885491147e-06,0.240283248010173,0.329508289368079,0.244277674513097,1,1,100,-0.424903010186466,0.879413816281305,1,2.62953951543605,1,-33.94308,475,0,0.2,20,"both",-0.424903010186466,0.879413816281305
"12","session1",-28.0879038332357,26.6871675226392,4.16439595323445,2.88550885491147e-06,0.240283248010173,0.329508289368079,0.244277674513097,1,1,100,-0.424903010186466,0.879413816281305,1,2.46372899890173,1,5.9087,475,0,0.2,20,"both",-0.424903010186466,0.879413816281305
"13","session1",-28.0879038332357,26.6871675226392,4.16439595323445,2.88550885491147e-06,0.240283248010173,0.329508289368079,0.244277674513097,1,1,100,-0.424903010186466,0.879413816281305,1,4.83744301874961,0,-19.2927,475,0,0.2,20,"both",-0.424903010186466,0.879413816281305
"14","session1",-28.0879038332357,26.6871675226392,4.16439595323445,2.88550885491147e-06,0.240283248010173,0.329508289368079,0.244277674513097,1,1,100,-0.424903010186466,0.879413816281305,1,2.64097144503232,1,-25.9664,475,0,0.2,20,"both",-0.424903010186466,0.879413816281305
"15","session1",-28.0879038332357,26.6871675226392,4.16439595323445,2.88550885491147e-06,0.240283248010173,0.329508289368079,0.244277674513097,1,1,100,-0.424903010186466,0.879413816281305,1,2.9490258130492,0,-29.157406552,475,0,0.2,20,"both",-0.424903010186466,0.879413816281305
"16","session1",-28.0879038332357,26.6871675226392,4.16439595323445,2.88550885491147e-06,0.240283248010173,0.329508289368079,0.244277674513097,1,1,100,-0.424903010186466,0.879413816281305,1,3.05346806648426,1,-17.13898,475,0,0.2,20,"both",-0.424903010186466,0.879413816281305
"17","session1",-28.0879038332357,26.6871675226392,4.16439595323445,2.88550885491147e-06,0.240283248010173,0.329508289368079,0.244277674513097,1,1,100,-0.424903010186466,0.879413816281305,1,4.0702731558848,1,-31.67329,475,0,0.2,20,"both",-0.424903010186466,0.879413816281305
"18","session1",-28.0879038332357,26.6871675226392,4.16439595323445,2.88550885491147e-06,0.240283248010173,0.329508289368079,0.244277674513097,1,1,100,-0.424903010186466,0.879413816281305,1,4.6549082281302,1,-33.54406815,475,0,0.2,20,"both",-0.424903010186466,0.879413816281305
"19","session1",-28.0879038332357,26.6871675226392,4.16439595323445,2.88550885491147e-06,0.240283248010173,0.329508289368079,0.244277674513097,1,1,100,-0.424903010186466,0.879413816281305,1,1.65228249695544,1,-47.3,475,0,0.2,20,"both",-0.424903010186466,0.879413816281305
"20","session1",-28.0879038332357,26.6871675226392,4.16439595323445,2.88550885491147e-06,0.240283248010173,0.329508289368079,0.244277674513097,1,1,100,-0.424903010186466,0.879413816281305,1,4.04013825591341,0,-19.14874,475,0,0.2,20,"both",-0.424903010186466,0.879413816281305
"21","session1",-28.0879038332357,26.6871675226392,4.16439595323445,2.88550885491147e-06,0.240283248010173,0.329508289368079,0.244277674513097,1,1,100,-0.424903010186466,0.879413816281305,1,2.5585546623379,1,33.5076,475,0,0.2,20,"both",-0.424903010186466,0.879413816281305
"22","session1",-28.0879038332357,26.6871675226392,4.16439595323445,2.88550885491147e-06,0.240283248010173,0.329508289368079,0.244277674513097,1,1,100,-0.424903010186466,0.879413816281305,1,2.59623811265056,0,-35.536331503,475,0,0.2,20,"both",-0.424903010186466,0.879413816281305
"23","session1",-28.0879038332357,26.6871675226392,4.16439595323445,2.88550885491147e-06,0.240283248010173,0.329508289368079,0.244277674513097,1,1,100,-0.424903010186466,0.879413816281305,1,3.65663011611669,0,-32.49762468,475,0,0.2,20,"both",-0.424903010186466,0.879413816281305
"24","session1",-28.0879038332357,26.6871675226392,4.16439595323445,2.88550885491147e-06,0.240283248010173,0.329508289368079,0.244277674513097,1,1,100,-0.424903010186466,0.879413816281305,1,4.46977831389779,0,-28.65795369,475,0,0.2,20,"both",-0.424903010186466,0.879413816281305
"25","session1",-28.0879038332357,26.6871675226392,4.16439595323445,2.88550885491147e-06,0.240283248010173,0.329508289368079,0.244277674513097,1,1,100,-0.424903010186466,0.879413816281305,1,4.9324800511834,1,-28.83513995,475,0,0.2,20,"both",-0.424903010186466,0.879413816281305
"26","session1",-28.0879038332357,26.6871675226392,4.16439595323445,2.88550885491147e-06,0.240283248010173,0.329508289368079,0.244277674513097,1,1,100,-0.424903010186466,0.879413816281305,1,3.31987981770252,1,-28.99465471,475,0,0.2,20,"both",-0.424903010186466,0.879413816281305
"27","session1",-28.0879038332357,26.6871675226392,4.16439595323445,2.88550885491147e-06,0.240283248010173,0.329508289368079,0.244277674513097,1,1,100,-0.424903010186466,0.879413816281305,1,3.07719586656762,1,-12.888,475,0,0.2,20,"both",-0.424903010186466,0.879413816281305
"28","session1",-28.0879038332357,26.6871675226392,4.16439595323445,2.88550885491147e-06,0.240283248010173,0.329508289368079,0.244277674513097,1,1,100,-0.424903010186466,0.879413816281305,1,1.33855444009637,1,38.234,475,0,0.2,20,"both",-0.424903010186466,0.879413816281305
"29","session1",-28.0879038332357,26.6871675226392,4.16439595323445,2.88550885491147e-06,0.240283248010173,0.329508289368079,0.244277674513097,1,1,100,-0.424903010186466,0.879413816281305,1,4.05252147581127,1,-22.4824,475,0,0.2,20,"both",-0.424903010186466,0.879413816281305
"30","session1",-28.0879038332357,26.6871675226392,4.16439595323445,2.88550885491147e-06,0.240283248010173,0.329508289368079,0.244277674513097,1,1,100,-0.424903010186466,0.879413816281305,1,4.11255590407945,1,-43.649,475,0,0.2,20,"both",-0.424903010186466,0.879413816281305
"31","session1",-28.0879038332357,26.6871675226392,4.16439595323445,2.88550885491147e-06,0.240283248010173,0.329508289368079,0.244277674513097,1,1,100,-0.424903010186466,0.879413816281305,1,3.39038160013982,0,-49.0153,475,0,0.2,20,"both",-0.424903010186466,0.879413816281305
"32","session1",-28.0879038332357,26.6871675226392,4.16439595323445,2.88550885491147e-06,0.240283248010173,0.329508289368079,0.244277674513097,1,1,100,-0.424903010186466,0.879413816281305,1,3.44958384185308,1,-34.6619002,475,0,0.2,20,"both",-0.424903010186466,0.879413816281305
"33","session1",-28.0879038332357,26.6871675226392,4.16439595323445,2.88550885491147e-06,0.240283248010173,0.329508289368079,0.244277674513097,1,1,100,-0.424903010186466,0.879413816281305,1,2.77807881607176,1,-37.8383195,475,0,0.2,20,"both",-0.424903010186466,0.879413816281305
"34","session1",-28.0879038332357,26.6871675226392,4.16439595323445,2.88550885491147e-06,0.240283248010173,0.329508289368079,0.244277674513097,1,1,100,-0.424903010186466,0.879413816281305,1,3.01350587097259,1,-21.3861,475,0,0.2,20,"both",-0.424903010186466,0.879413816281305
"35","session1",-28.0879038332357,26.6871675226392,4.16439595323445,2.88550885491147e-06,0.240283248010173,0.329508289368079,0.244277674513097,1,1,100,-0.424903010186466,0.879413816281305,1,1.405213445236,0,10.2014,475,0,0.2,20,"both",-0.424903010186466,0.879413816281305
"36","session1",-28.0879038332357,26.6871675226392,4.16439595323445,2.88550885491147e-06,0.240283248010173,0.329508289368079,0.244277674513097,1,1,100,-0.424903010186466,0.879413816281305,1,5.24267979030659,0,-38.25228597,475,0,0.2,20,"both",-0.424903010186466,0.879413816281305
"37","session1",-28.0879038332357,26.6871675226392,4.16439595323445,2.88550885491147e-06,0.240283248010173,0.329508289368079,0.244277674513097,1,1,100,-0.424903010186466,0.879413816281305,1,3.01570334781123,0,-49.36001,475,0,0.2,20,"both",-0.424903010186466,0.879413816281305
"38","session1",-28.0879038332357,26.6871675226392,4.16439595323445,2.88550885491147e-06,0.240283248010173,0.329508289368079,0.244277674513097,1,1,100,-0.424903010186466,0.879413816281305,1,4.41606186321913,0,-27.6017,475,0,0.2,20,"both",-0.424903010186466,0.879413816281305
"39","session1",-28.0879038332357,26.6871675226392,4.16439595323445,2.88550885491147e-06,0.240283248010173,0.329508289368079,0.244277674513097,1,1,100,-0.424903010186466,0.879413816281305,1,3.42073541442122,1,-34.17363428,475,0,0.2,20,"both",-0.424903010186466,0.879413816281305
"40","session1",-28.0879038332357,26.6871675226392,4.16439595323445,2.88550885491147e-06,0.240283248010173,0.329508289368079,0.244277674513097,1,1,100,-0.424903010186466,0.879413816281305,1,1.81662887214621,1,-3.35899999999999,475,0,0.2,20,"both",-0.424903010186466,0.879413816281305
