"","session","alpha","beta","betart","lapse","intercept","sigma","ndt","participant_id","sessions","trials","alpha_obs_power","beta_obs_power","n","rts","resp","X","iter","real_effectsize_alpha","real_effectsize_beta","subjects","parameter","observed_effectsize_alpha","observed_effectsize_beta"
"1","session1",-19.412279037776,5.98245785641045,2.59822737013596,0.00383997982104404,0.590567373109984,0.508837898720417,0.441441015946698,1,1,100,0.317259915699939,-0.653276925013407,1,1.75509109054285,1,-8.0622677931,2191,0,1,20,"both",0.317259915699939,-0.653276925013407
"2","session1",-19.412279037776,5.98245785641045,2.59822737013596,0.00383997982104404,0.590567373109984,0.508837898720417,0.441441015946698,1,1,100,0.317259915699939,-0.653276925013407,1,4.30685510320571,1,-10.6904051863,2191,0,1,20,"both",0.317259915699939,-0.653276925013407
"3","session1",-19.412279037776,5.98245785641045,2.59822737013596,0.00383997982104404,0.590567373109984,0.508837898720417,0.441441015946698,1,1,100,0.317259915699939,-0.653276925013407,1,5.29168252823649,0,-19.8549196822,2191,0,1,20,"both",0.317259915699939,-0.653276925013407
"4","session1",-19.412279037776,5.98245785641045,2.59822737013596,0.00383997982104404,0.590567373109984,0.508837898720417,0.441441015946698,1,1,100,0.317259915699939,-0.653276925013407,1,1.57155348743718,0,-15.76094819,2191,0,1,20,"both",0.317259915699939,-0.653276925013407
"5","session1",-19.412279037776,5.98245785641045,2.59822737013596,0.00383997982104404,0.590567373109984,0.508837898720417,0.441441015946698,1,1,100,0.317259915699939,-0.653276925013407,1,2.69548881713363,1,-7.88802,2191,0,1,20,"both",0.317259915699939,-0.653276925013407
"6","session1",-19.412279037776,5.98245785641045,2.59822737013596,0.00383997982104404,0.590567373109984,0.508837898720417,0.441441015946698,1,1,100,0.317259915699939,-0.653276925013407,1,4.48491824453666,1,-12.85996,2191,0,1,20,"both",0.317259915699939,-0.653276925013407
"7","session1",-19.412279037776,5.98245785641045,2.59822737013596,0.00383997982104404,0.590567373109984,0.508837898720417,0.441441015946698,1,1,100,0.317259915699939,-0.653276925013407,1,2.83771687721289,1,-13.57973,2191,0,1,20,"both",0.317259915699939,-0.653276925013407
"8","session1",-19.412279037776,5.98245785641045,2.59822737013596,0.00383997982104404,0.590567373109984,0.508837898720417,0.441441015946698,1,1,100,0.317259915699939,-0.653276925013407,1,2.37374492919184,0,-23.19409,2191,0,1,20,"both",0.317259915699939,-0.653276925013407
"9","session1",-19.412279037776,5.98245785641045,2.59822737013596,0.00383997982104404,0.590567373109984,0.508837898720417,0.441441015946698,1,1,100,0.317259915699939,-0.653276925013407,1,3.14275333270017,1,-13.75906,2191,0,1,20,"both",0.317259915699939,-0.653276925013407
"10","session1",-19.412279037776,5.98245785641045,2.59822737013596,0.00383997982104404,0.590567373109984,0.508837898720417,0.441441015946698,1,1,100,0.317259915699939,-0.653276925013407,1,1.67054538843308,1,-15.96568,2191,0,1,20,"both",0.317259915699939,-0.653276925013407
"11","session1",-19.412279037776,5.98245785641045,2.59822737013596,0.00383997982104404,0.590567373109984,0.508837898720417,0.441441015946698,1,1,100,0.317259915699939,-0.653276925013407,1,1.24639800297815,1,-10.63221,2191,0,1,20,"both",0.317259915699939,-0.653276925013407
"12","session1",-19.412279037776,5.98245785641045,2.59822737013596,0.00383997982104404,0.590567373109984,0.508837898720417,0.441441015946698,1,1,100,0.317259915699939,-0.653276925013407,1,3.15014039829467,1,-16.46973,2191,0,1,20,"both",0.317259915699939,-0.653276925013407
"13","session1",-19.412279037776,5.98245785641045,2.59822737013596,0.00383997982104404,0.590567373109984,0.508837898720417,0.441441015946698,1,1,100,0.317259915699939,-0.653276925013407,1,1.91909142719188,0,-21.21835,2191,0,1,20,"both",0.317259915699939,-0.653276925013407
"14","session1",-19.412279037776,5.98245785641045,2.59822737013596,0.00383997982104404,0.590567373109984,0.508837898720417,0.441441015946698,1,1,100,0.317259915699939,-0.653276925013407,1,4.26634567636137,1,-17.69812,2191,0,1,20,"both",0.317259915699939,-0.653276925013407
"15","session1",-19.412279037776,5.98245785641045,2.59822737013596,0.00383997982104404,0.590567373109984,0.508837898720417,0.441441015946698,1,1,100,0.317259915699939,-0.653276925013407,1,6.63764495835289,0,-18.68609,2191,0,1,20,"both",0.317259915699939,-0.653276925013407
"16","session1",-19.412279037776,5.98245785641045,2.59822737013596,0.00383997982104404,0.590567373109984,0.508837898720417,0.441441015946698,1,1,100,0.317259915699939,-0.653276925013407,1,4.6525952601789,0,-15.66095,2191,0,1,20,"both",0.317259915699939,-0.653276925013407
"17","session1",-19.412279037776,5.98245785641045,2.59822737013596,0.00383997982104404,0.590567373109984,0.508837898720417,0.441441015946698,1,1,100,0.317259915699939,-0.653276925013407,1,3.11032824285611,0,-21.07554,2191,0,1,20,"both",0.317259915699939,-0.653276925013407
"18","session1",-19.412279037776,5.98245785641045,2.59822737013596,0.00383997982104404,0.590567373109984,0.508837898720417,0.441441015946698,1,1,100,0.317259915699939,-0.653276925013407,1,2.86440041877277,1,-18.32558,2191,0,1,20,"both",0.317259915699939,-0.653276925013407
"19","session1",-19.412279037776,5.98245785641045,2.59822737013596,0.00383997982104404,0.590567373109984,0.508837898720417,0.441441015946698,1,1,100,0.317259915699939,-0.653276925013407,1,1.81222780834493,1,-22.05924,2191,0,1,20,"both",0.317259915699939,-0.653276925013407
"20","session1",-19.412279037776,5.98245785641045,2.59822737013596,0.00383997982104404,0.590567373109984,0.508837898720417,0.441441015946698,1,1,100,0.317259915699939,-0.653276925013407,1,1.38213996325716,0,-27.4169,2191,0,1,20,"both",0.317259915699939,-0.653276925013407
"21","session1",-19.412279037776,5.98245785641045,2.59822737013596,0.00383997982104404,0.590567373109984,0.508837898720417,0.441441015946698,1,1,100,0.317259915699939,-0.653276925013407,1,6.95173080265247,1,-15.92466,2191,0,1,20,"both",0.317259915699939,-0.653276925013407
"22","session1",-19.412279037776,5.98245785641045,2.59822737013596,0.00383997982104404,0.590567373109984,0.508837898720417,0.441441015946698,1,1,100,0.317259915699939,-0.653276925013407,1,2.5034140844811,0,-14.6942,2191,0,1,20,"both",0.317259915699939,-0.653276925013407
"23","session1",-19.412279037776,5.98245785641045,2.59822737013596,0.00383997982104404,0.590567373109984,0.508837898720417,0.441441015946698,1,1,100,0.317259915699939,-0.653276925013407,1,2.95941382144572,1,-5.4635,2191,0,1,20,"both",0.317259915699939,-0.653276925013407
"24","session1",-19.412279037776,5.98245785641045,2.59822737013596,0.00383997982104404,0.590567373109984,0.508837898720417,0.441441015946698,1,1,100,0.317259915699939,-0.653276925013407,1,2.47869897445846,0,-21.0799,2191,0,1,20,"both",0.317259915699939,-0.653276925013407
"25","session1",-19.412279037776,5.98245785641045,2.59822737013596,0.00383997982104404,0.590567373109984,0.508837898720417,0.441441015946698,1,1,100,0.317259915699939,-0.653276925013407,1,6.04678326319739,1,-12.91577,2191,0,1,20,"both",0.317259915699939,-0.653276925013407
