"","session","alpha","beta","betart","lapse","intercept","sigma","ndt","participant_id","sessions","trials","alpha_obs_power","beta_obs_power","n","rts","resp","X","iter","real_effectsize_alpha","real_effectsize_beta","subjects","parameter","observed_effectsize_alpha","observed_effectsize_beta"
"1","session1",-10.2671594562933,10.3967832700654,1.28360043008995,0.00506873514569502,0.467467255765228,0.658453964969997,0.664019816197354,1,1,100,-0.219351281285997,-0.61260612422834,1,3.42381144715476,1,-10.0139988596,3224,0.2,0.6,20,"both",-0.219351281285997,-0.61260612422834
"2","session1",-10.2671594562933,10.3967832700654,1.28360043008995,0.00506873514569502,0.467467255765228,0.658453964969997,0.664019816197354,1,1,100,-0.219351281285997,-0.61260612422834,1,1.75550657458381,0,-8.87753379283,3224,0.2,0.6,20,"both",-0.219351281285997,-0.61260612422834
"3","session1",-10.2671594562933,10.3967832700654,1.28360043008995,0.00506873514569502,0.467467255765228,0.658453964969997,0.664019816197354,1,1,100,-0.219351281285997,-0.61260612422834,1,3.11833431037459,1,-0.0706654662,3224,0.2,0.6,20,"both",-0.219351281285997,-0.61260612422834
"4","session1",-10.2671594562933,10.3967832700654,1.28360043008995,0.00506873514569502,0.467467255765228,0.658453964969997,0.664019816197354,1,1,100,-0.219351281285997,-0.61260612422834,1,2.49368892682634,1,-6.7769094406,3224,0.2,0.6,20,"both",-0.219351281285997,-0.61260612422834
"5","session1",-10.2671594562933,10.3967832700654,1.28360043008995,0.00506873514569502,0.467467255765228,0.658453964969997,0.664019816197354,1,1,100,-0.219351281285997,-0.61260612422834,1,2.75537481290461,1,3.6527,3224,0.2,0.6,20,"both",-0.219351281285997,-0.61260612422834
"6","session1",-10.2671594562933,10.3967832700654,1.28360043008995,0.00506873514569502,0.467467255765228,0.658453964969997,0.664019816197354,1,1,100,-0.219351281285997,-0.61260612422834,1,2.88808488236855,1,1.3294,3224,0.2,0.6,20,"both",-0.219351281285997,-0.61260612422834
"7","session1",-10.2671594562933,10.3967832700654,1.28360043008995,0.00506873514569502,0.467467255765228,0.658453964969997,0.664019816197354,1,1,100,-0.219351281285997,-0.61260612422834,1,2.02350549297936,1,-16.1942242234,3224,0.2,0.6,20,"both",-0.219351281285997,-0.61260612422834
"8","session1",-10.2671594562933,10.3967832700654,1.28360043008995,0.00506873514569502,0.467467255765228,0.658453964969997,0.664019816197354,1,1,100,-0.219351281285997,-0.61260612422834,1,2.21021697762738,0,-30.1429,3224,0.2,0.6,20,"both",-0.219351281285997,-0.61260612422834
"9","session1",-10.2671594562933,10.3967832700654,1.28360043008995,0.00506873514569502,0.467467255765228,0.658453964969997,0.664019816197354,1,1,100,-0.219351281285997,-0.61260612422834,1,3.91434276347441,1,-14.5139,3224,0.2,0.6,20,"both",-0.219351281285997,-0.61260612422834
"10","session1",-10.2671594562933,10.3967832700654,1.28360043008995,0.00506873514569502,0.467467255765228,0.658453964969997,0.664019816197354,1,1,100,-0.219351281285997,-0.61260612422834,1,1.86636887514578,0,-35.8654,3224,0.2,0.6,20,"both",-0.219351281285997,-0.61260612422834
