"","session","alpha","beta","betart","lapse","intercept","sigma","ndt","participant_id","sessions","trials","alpha_obs_power","beta_obs_power","n","rts","resp","X","iter","real_effectsize_alpha","real_effectsize_beta","subjects","parameter","observed_effectsize_alpha","observed_effectsize_beta"
"1","session1",-6.19493877135226,13.0279421545247,1.56135405730904,2.38052162722064e-06,0.347315195821486,0.366073219221957,0.445330604935631,1,1,100,0.337266729364433,-0.574374713983005,1,1.50494390257473,1,-8.2765967868,6856,0,0,12,"both",0.337266729364433,-0.574374713983005
"2","session1",-6.19493877135226,13.0279421545247,1.56135405730904,2.38052162722064e-06,0.347315195821486,0.366073219221957,0.445330604935631,1,1,100,0.337266729364433,-0.574374713983005,1,2.37404771248805,0,-11.0245088852,6856,0,0,12,"both",0.337266729364433,-0.574374713983005
"3","session1",-6.19493877135226,13.0279421545247,1.56135405730904,2.38052162722064e-06,0.347315195821486,0.366073219221957,0.445330604935631,1,1,100,0.337266729364433,-0.574374713983005,1,2.62974392992552,1,-0.4654586045,6856,0,0,12,"both",0.337266729364433,-0.574374713983005
"4","session1",-6.19493877135226,13.0279421545247,1.56135405730904,2.38052162722064e-06,0.347315195821486,0.366073219221957,0.445330604935631,1,1,100,0.337266729364433,-0.574374713983005,1,1.71520981211359,1,-7.65422071993,6856,0,0,12,"both",0.337266729364433,-0.574374713983005
"5","session1",-6.19493877135226,13.0279421545247,1.56135405730904,2.38052162722064e-06,0.347315195821486,0.366073219221957,0.445330604935631,1,1,100,0.337266729364433,-0.574374713983005,1,1.81949336755522,0,-15.70739,6856,0,0,12,"both",0.337266729364433,-0.574374713983005
"6","session1",-6.19493877135226,13.0279421545247,1.56135405730904,2.38052162722064e-06,0.347315195821486,0.366073219221957,0.445330604935631,1,1,100,0.337266729364433,-0.574374713983005,1,2.4836037690178,0,-14.67757,6856,0,0,12,"both",0.337266729364433,-0.574374713983005
"7","session1",-6.19493877135226,13.0279421545247,1.56135405730904,2.38052162722064e-06,0.347315195821486,0.366073219221957,0.445330604935631,1,1,100,0.337266729364433,-0.574374713983005,1,2.6555338887957,1,-11.87896,6856,0,0,12,"both",0.337266729364433,-0.574374713983005
"8","session1",-6.19493877135226,13.0279421545247,1.56135405730904,2.38052162722064e-06,0.347315195821486,0.366073219221957,0.445330604935631,1,1,100,0.337266729364433,-0.574374713983005,1,2.41203031122947,0,-11.06346395,6856,0,0,12,"both",0.337266729364433,-0.574374713983005
"9","session1",-6.19493877135226,13.0279421545247,1.56135405730904,2.38052162722064e-06,0.347315195821486,0.366073219221957,0.445330604935631,1,1,100,0.337266729364433,-0.574374713983005,1,1.9171157546559,0,-27.2811,6856,0,0,12,"both",0.337266729364433,-0.574374713983005
"10","session1",-6.19493877135226,13.0279421545247,1.56135405730904,2.38052162722064e-06,0.347315195821486,0.366073219221957,0.445330604935631,1,1,100,0.337266729364433,-0.574374713983005,1,1.62684085562656,1,43.98817,6856,0,0,12,"both",0.337266729364433,-0.574374713983005
