"","session","alpha","beta","betart","lapse","intercept","sigma","ndt","participant_id","sessions","trials","alpha_obs_power","beta_obs_power","n","rts","resp","X","iter","real_effectsize_alpha","real_effectsize_beta","subjects","parameter","observed_effectsize_alpha","observed_effectsize_beta"
"1","session1",-7.15820832102261,21.2025606734364,3.69280743296809,0.0021559430495842,0.0767465430765749,0.520804671866145,0.497009257404879,1,1,100,-0.531671066643605,0.174754213099517,1,1.73574463697832,0,8.866643879,4776,0.6,0,10,"both",-0.531671066643605,0.174754213099517
"2","session1",-7.15820832102261,21.2025606734364,3.69280743296809,0.0021559430495842,0.0767465430765749,0.520804671866145,0.497009257404879,1,1,100,-0.531671066643605,0.174754213099517,1,2.63172815971718,1,7.79623101434,4776,0.6,0,10,"both",-0.531671066643605,0.174754213099517
"3","session1",-7.15820832102261,21.2025606734364,3.69280743296809,0.0021559430495842,0.0767465430765749,0.520804671866145,0.497009257404879,1,1,100,-0.531671066643605,0.174754213099517,1,2.7291392077802,1,2.1521353455,4776,0.6,0,10,"both",-0.531671066643605,0.174754213099517
"4","session1",-7.15820832102261,21.2025606734364,3.69280743296809,0.0021559430495842,0.0767465430765749,0.520804671866145,0.497009257404879,1,1,100,-0.531671066643605,0.174754213099517,1,4.86376533838988,1,-3.8505847657,4776,0.6,0,10,"both",-0.531671066643605,0.174754213099517
"5","session1",-7.15820832102261,21.2025606734364,3.69280743296809,0.0021559430495842,0.0767465430765749,0.520804671866145,0.497009257404879,1,1,100,-0.531671066643605,0.174754213099517,1,1.82975527561577,1,-13.115,4776,0.6,0,10,"both",-0.531671066643605,0.174754213099517
"6","session1",-7.15820832102261,21.2025606734364,3.69280743296809,0.0021559430495842,0.0767465430765749,0.520804671866145,0.497009257404879,1,1,100,-0.531671066643605,0.174754213099517,1,3.8993400148144,0,-27.91926,4776,0.6,0,10,"both",-0.531671066643605,0.174754213099517
"7","session1",-7.15820832102261,21.2025606734364,3.69280743296809,0.0021559430495842,0.0767465430765749,0.520804671866145,0.497009257404879,1,1,100,-0.531671066643605,0.174754213099517,1,1.56005402535516,1,-29.6808,4776,0.6,0,10,"both",-0.531671066643605,0.174754213099517
"8","session1",-7.15820832102261,21.2025606734364,3.69280743296809,0.0021559430495842,0.0767465430765749,0.520804671866145,0.497009257404879,1,1,100,-0.531671066643605,0.174754213099517,1,1.55471167997363,1,47.311686,4776,0.6,0,10,"both",-0.531671066643605,0.174754213099517
"9","session1",-7.15820832102261,21.2025606734364,3.69280743296809,0.0021559430495842,0.0767465430765749,0.520804671866145,0.497009257404879,1,1,100,-0.531671066643605,0.174754213099517,1,1.89546638462004,0,-10.6617687612,4776,0.6,0,10,"both",-0.531671066643605,0.174754213099517
"10","session1",-7.15820832102261,21.2025606734364,3.69280743296809,0.0021559430495842,0.0767465430765749,0.520804671866145,0.497009257404879,1,1,100,-0.531671066643605,0.174754213099517,1,2.61818043851387,1,-4.3642,4776,0.6,0,10,"both",-0.531671066643605,0.174754213099517
"11","session1",-7.15820832102261,21.2025606734364,3.69280743296809,0.0021559430495842,0.0767465430765749,0.520804671866145,0.497009257404879,1,1,100,-0.531671066643605,0.174754213099517,1,1.39842863393169,0,-29.68276,4776,0.6,0,10,"both",-0.531671066643605,0.174754213099517
"12","session1",-7.15820832102261,21.2025606734364,3.69280743296809,0.0021559430495842,0.0767465430765749,0.520804671866145,0.497009257404879,1,1,100,-0.531671066643605,0.174754213099517,1,2.81522564911297,1,-10.181456432485,4776,0.6,0,10,"both",-0.531671066643605,0.174754213099517
"13","session1",-7.15820832102261,21.2025606734364,3.69280743296809,0.0021559430495842,0.0767465430765749,0.520804671866145,0.497009257404879,1,1,100,-0.531671066643605,0.174754213099517,1,2.84030415437284,0,-16.5034,4776,0.6,0,10,"both",-0.531671066643605,0.174754213099517
"14","session1",-7.15820832102261,21.2025606734364,3.69280743296809,0.0021559430495842,0.0767465430765749,0.520804671866145,0.497009257404879,1,1,100,-0.531671066643605,0.174754213099517,1,2.32939496689394,0,-12.0800286871,4776,0.6,0,10,"both",-0.531671066643605,0.174754213099517
