"","session","alpha","beta","betart","lapse","intercept","sigma","ndt","participant_id","sessions","trials","alpha_obs_power","beta_obs_power","n","rts","resp","X","iter","real_effectsize_alpha","real_effectsize_beta","subjects","parameter","observed_effectsize_alpha","observed_effectsize_beta"
"1","session1",-21.707667403424,13.0437464438744,3.53058477669183,4.21359966733089e-07,-0.0786014337032223,0.53054603919507,0.704927994493488,1,1,100,1.01885738821102,-0.110266305509645,1,2.30090982046971,0,-10.36794723246,1440,0.8,0,20,"both",1.01885738821102,-0.110266305509645
"2","session1",-21.707667403424,13.0437464438744,3.53058477669183,4.21359966733089e-07,-0.0786014337032223,0.53054603919507,0.704927994493488,1,1,100,1.01885738821102,-0.110266305509645,1,1.5275837687391,1,6.6616576719,1440,0.8,0,20,"both",1.01885738821102,-0.110266305509645
"3","session1",-21.707667403424,13.0437464438744,3.53058477669183,4.21359966733089e-07,-0.0786014337032223,0.53054603919507,0.704927994493488,1,1,100,1.01885738821102,-0.110266305509645,1,1.67449878913262,1,-0.98256935388,1440,0.8,0,20,"both",1.01885738821102,-0.110266305509645
"4","session1",-21.707667403424,13.0437464438744,3.53058477669183,4.21359966733089e-07,-0.0786014337032223,0.53054603919507,0.704927994493488,1,1,100,1.01885738821102,-0.110266305509645,1,3.95624702528449,0,-5.08109669603,1440,0.8,0,20,"both",1.01885738821102,-0.110266305509645
"5","session1",-21.707667403424,13.0437464438744,3.53058477669183,4.21359966733089e-07,-0.0786014337032223,0.53054603919507,0.704927994493488,1,1,100,1.01885738821102,-0.110266305509645,1,3.35160046963636,1,-19.07642,1440,0.8,0,20,"both",1.01885738821102,-0.110266305509645
"6","session1",-21.707667403424,13.0437464438744,3.53058477669183,4.21359966733089e-07,-0.0786014337032223,0.53054603919507,0.704927994493488,1,1,100,1.01885738821102,-0.110266305509645,1,1.53630501393185,0,-3.9026946066,1440,0.8,0,20,"both",1.01885738821102,-0.110266305509645
"7","session1",-21.707667403424,13.0437464438744,3.53058477669183,4.21359966733089e-07,-0.0786014337032223,0.53054603919507,0.704927994493488,1,1,100,1.01885738821102,-0.110266305509645,1,1.45959998236525,1,1.055,1440,0.8,0,20,"both",1.01885738821102,-0.110266305509645
"8","session1",-21.707667403424,13.0437464438744,3.53058477669183,4.21359966733089e-07,-0.0786014337032223,0.53054603919507,0.704927994493488,1,1,100,1.01885738821102,-0.110266305509645,1,1.61530408202446,1,28.8382,1440,0.8,0,20,"both",1.01885738821102,-0.110266305509645
"9","session1",-21.707667403424,13.0437464438744,3.53058477669183,4.21359966733089e-07,-0.0786014337032223,0.53054603919507,0.704927994493488,1,1,100,1.01885738821102,-0.110266305509645,1,1.16872679578068,0,-48.70002,1440,0.8,0,20,"both",1.01885738821102,-0.110266305509645
"10","session1",-21.707667403424,13.0437464438744,3.53058477669183,4.21359966733089e-07,-0.0786014337032223,0.53054603919507,0.704927994493488,1,1,100,1.01885738821102,-0.110266305509645,1,2.40463156142697,0,-28.2779,1440,0.8,0,20,"both",1.01885738821102,-0.110266305509645
"11","session1",-21.707667403424,13.0437464438744,3.53058477669183,4.21359966733089e-07,-0.0786014337032223,0.53054603919507,0.704927994493488,1,1,100,1.01885738821102,-0.110266305509645,1,2.60093761314833,0,-5.35075,1440,0.8,0,20,"both",1.01885738821102,-0.110266305509645
"12","session1",-21.707667403424,13.0437464438744,3.53058477669183,4.21359966733089e-07,-0.0786014337032223,0.53054603919507,0.704927994493488,1,1,100,1.01885738821102,-0.110266305509645,1,1.46718704192876,1,2.32661,1440,0.8,0,20,"both",1.01885738821102,-0.110266305509645
"13","session1",-21.707667403424,13.0437464438744,3.53058477669183,4.21359966733089e-07,-0.0786014337032223,0.53054603919507,0.704927994493488,1,1,100,1.01885738821102,-0.110266305509645,1,1.82816220583942,1,-2.4534016803,1440,0.8,0,20,"both",1.01885738821102,-0.110266305509645
"14","session1",-21.707667403424,13.0437464438744,3.53058477669183,4.21359966733089e-07,-0.0786014337032223,0.53054603919507,0.704927994493488,1,1,100,1.01885738821102,-0.110266305509645,1,3.6586673584058,1,17.28,1440,0.8,0,20,"both",1.01885738821102,-0.110266305509645
"15","session1",-21.707667403424,13.0437464438744,3.53058477669183,4.21359966733089e-07,-0.0786014337032223,0.53054603919507,0.704927994493488,1,1,100,1.01885738821102,-0.110266305509645,1,2.61603495574323,1,-7.21606,1440,0.8,0,20,"both",1.01885738821102,-0.110266305509645
"16","session1",-21.707667403424,13.0437464438744,3.53058477669183,4.21359966733089e-07,-0.0786014337032223,0.53054603919507,0.704927994493488,1,1,100,1.01885738821102,-0.110266305509645,1,1.68476402110249,0,-5.41535,1440,0.8,0,20,"both",1.01885738821102,-0.110266305509645
"17","session1",-21.707667403424,13.0437464438744,3.53058477669183,4.21359966733089e-07,-0.0786014337032223,0.53054603919507,0.704927994493488,1,1,100,1.01885738821102,-0.110266305509645,1,1.75693570554591,1,-43.26092,1440,0.8,0,20,"both",1.01885738821102,-0.110266305509645
"18","session1",-21.707667403424,13.0437464438744,3.53058477669183,4.21359966733089e-07,-0.0786014337032223,0.53054603919507,0.704927994493488,1,1,100,1.01885738821102,-0.110266305509645,1,2.61133282542539,1,-4.1421855626,1440,0.8,0,20,"both",1.01885738821102,-0.110266305509645
"19","session1",-21.707667403424,13.0437464438744,3.53058477669183,4.21359966733089e-07,-0.0786014337032223,0.53054603919507,0.704927994493488,1,1,100,1.01885738821102,-0.110266305509645,1,2.96623226169366,1,-0.86372,1440,0.8,0,20,"both",1.01885738821102,-0.110266305509645
"20","session1",-21.707667403424,13.0437464438744,3.53058477669183,4.21359966733089e-07,-0.0786014337032223,0.53054603919507,0.704927994493488,1,1,100,1.01885738821102,-0.110266305509645,1,1.59994606186575,0,-7.18619,1440,0.8,0,20,"both",1.01885738821102,-0.110266305509645
"21","session1",-21.707667403424,13.0437464438744,3.53058477669183,4.21359966733089e-07,-0.0786014337032223,0.53054603919507,0.704927994493488,1,1,100,1.01885738821102,-0.110266305509645,1,7.29396859632987,1,-4.8537409604,1440,0.8,0,20,"both",1.01885738821102,-0.110266305509645
"22","session1",-21.707667403424,13.0437464438744,3.53058477669183,4.21359966733089e-07,-0.0786014337032223,0.53054603919507,0.704927994493488,1,1,100,1.01885738821102,-0.110266305509645,1,4.7078509053902,0,-7.0502683559,1440,0.8,0,20,"both",1.01885738821102,-0.110266305509645
"23","session1",-21.707667403424,13.0437464438744,3.53058477669183,4.21359966733089e-07,-0.0786014337032223,0.53054603919507,0.704927994493488,1,1,100,1.01885738821102,-0.110266305509645,1,1.62433240911148,1,-4.104151,1440,0.8,0,20,"both",1.01885738821102,-0.110266305509645
"24","session1",-21.707667403424,13.0437464438744,3.53058477669183,4.21359966733089e-07,-0.0786014337032223,0.53054603919507,0.704927994493488,1,1,100,1.01885738821102,-0.110266305509645,1,1.86823545361822,1,-3.591,1440,0.8,0,20,"both",1.01885738821102,-0.110266305509645
"25","session1",-21.707667403424,13.0437464438744,3.53058477669183,4.21359966733089e-07,-0.0786014337032223,0.53054603919507,0.704927994493488,1,1,100,1.01885738821102,-0.110266305509645,1,1.70175688811198,1,-11.40665,1440,0.8,0,20,"both",1.01885738821102,-0.110266305509645
"26","session1",-21.707667403424,13.0437464438744,3.53058477669183,4.21359966733089e-07,-0.0786014337032223,0.53054603919507,0.704927994493488,1,1,100,1.01885738821102,-0.110266305509645,1,2.44404966140922,1,-31.76527,1440,0.8,0,20,"both",1.01885738821102,-0.110266305509645
"27","session1",-21.707667403424,13.0437464438744,3.53058477669183,4.21359966733089e-07,-0.0786014337032223,0.53054603919507,0.704927994493488,1,1,100,1.01885738821102,-0.110266305509645,1,1.59826683300917,1,-41.82243,1440,0.8,0,20,"both",1.01885738821102,-0.110266305509645
"28","session1",-21.707667403424,13.0437464438744,3.53058477669183,4.21359966733089e-07,-0.0786014337032223,0.53054603919507,0.704927994493488,1,1,100,1.01885738821102,-0.110266305509645,1,1.97139381132815,0,-45.1381,1440,0.8,0,20,"both",1.01885738821102,-0.110266305509645
"29","session1",-21.707667403424,13.0437464438744,3.53058477669183,4.21359966733089e-07,-0.0786014337032223,0.53054603919507,0.704927994493488,1,1,100,1.01885738821102,-0.110266305509645,1,3.30055940532835,0,-16.742348883,1440,0.8,0,20,"both",1.01885738821102,-0.110266305509645
"30","session1",-21.707667403424,13.0437464438744,3.53058477669183,4.21359966733089e-07,-0.0786014337032223,0.53054603919507,0.704927994493488,1,1,100,1.01885738821102,-0.110266305509645,1,1.05192363972772,1,47.1865,1440,0.8,0,20,"both",1.01885738821102,-0.110266305509645
"31","session1",-21.707667403424,13.0437464438744,3.53058477669183,4.21359966733089e-07,-0.0786014337032223,0.53054603919507,0.704927994493488,1,1,100,1.01885738821102,-0.110266305509645,1,1.43720435466541,0,-38.5729,1440,0.8,0,20,"both",1.01885738821102,-0.110266305509645
"32","session1",-21.707667403424,13.0437464438744,3.53058477669183,4.21359966733089e-07,-0.0786014337032223,0.53054603919507,0.704927994493488,1,1,100,1.01885738821102,-0.110266305509645,1,2.75673547406675,1,44.4306,1440,0.8,0,20,"both",1.01885738821102,-0.110266305509645
"33","session1",-21.707667403424,13.0437464438744,3.53058477669183,4.21359966733089e-07,-0.0786014337032223,0.53054603919507,0.704927994493488,1,1,100,1.01885738821102,-0.110266305509645,1,3.94344784168628,1,-13.4885889313,1440,0.8,0,20,"both",1.01885738821102,-0.110266305509645
"34","session1",-21.707667403424,13.0437464438744,3.53058477669183,4.21359966733089e-07,-0.0786014337032223,0.53054603919507,0.704927994493488,1,1,100,1.01885738821102,-0.110266305509645,1,2.39148357295327,0,-25.32859,1440,0.8,0,20,"both",1.01885738821102,-0.110266305509645
"35","session1",-21.707667403424,13.0437464438744,3.53058477669183,4.21359966733089e-07,-0.0786014337032223,0.53054603919507,0.704927994493488,1,1,100,1.01885738821102,-0.110266305509645,1,2.42260098863957,0,-38.16345,1440,0.8,0,20,"both",1.01885738821102,-0.110266305509645
"36","session1",-21.707667403424,13.0437464438744,3.53058477669183,4.21359966733089e-07,-0.0786014337032223,0.53054603919507,0.704927994493488,1,1,100,1.01885738821102,-0.110266305509645,1,2.22914024029271,1,-20.434243,1440,0.8,0,20,"both",1.01885738821102,-0.110266305509645
"37","session1",-21.707667403424,13.0437464438744,3.53058477669183,4.21359966733089e-07,-0.0786014337032223,0.53054603919507,0.704927994493488,1,1,100,1.01885738821102,-0.110266305509645,1,1.34110156713834,1,8.8409,1440,0.8,0,20,"both",1.01885738821102,-0.110266305509645
"38","session1",-21.707667403424,13.0437464438744,3.53058477669183,4.21359966733089e-07,-0.0786014337032223,0.53054603919507,0.704927994493488,1,1,100,1.01885738821102,-0.110266305509645,1,2.40911568247692,1,-4.0936,1440,0.8,0,20,"both",1.01885738821102,-0.110266305509645
"39","session1",-21.707667403424,13.0437464438744,3.53058477669183,4.21359966733089e-07,-0.0786014337032223,0.53054603919507,0.704927994493488,1,1,100,1.01885738821102,-0.110266305509645,1,2.34879757165018,1,41.99547,1440,0.8,0,20,"both",1.01885738821102,-0.110266305509645
"40","session1",-21.707667403424,13.0437464438744,3.53058477669183,4.21359966733089e-07,-0.0786014337032223,0.53054603919507,0.704927994493488,1,1,100,1.01885738821102,-0.110266305509645,1,2.79788019668685,1,-19.121751961,1440,0.8,0,20,"both",1.01885738821102,-0.110266305509645
"41","session1",-21.707667403424,13.0437464438744,3.53058477669183,4.21359966733089e-07,-0.0786014337032223,0.53054603919507,0.704927994493488,1,1,100,1.01885738821102,-0.110266305509645,1,2.70613766569529,1,-10.7505,1440,0.8,0,20,"both",1.01885738821102,-0.110266305509645
"42","session1",-21.707667403424,13.0437464438744,3.53058477669183,4.21359966733089e-07,-0.0786014337032223,0.53054603919507,0.704927994493488,1,1,100,1.01885738821102,-0.110266305509645,1,4.05756746554199,0,-22.0640318243,1440,0.8,0,20,"both",1.01885738821102,-0.110266305509645
"43","session1",-21.707667403424,13.0437464438744,3.53058477669183,4.21359966733089e-07,-0.0786014337032223,0.53054603919507,0.704927994493488,1,1,100,1.01885738821102,-0.110266305509645,1,2.904704509159,1,26.8083,1440,0.8,0,20,"both",1.01885738821102,-0.110266305509645
