"","session","alpha","beta","betart","lapse","intercept","sigma","ndt","participant_id","sessions","trials","alpha_obs_power","beta_obs_power","n","rts","resp","X","iter","real_effectsize_alpha","real_effectsize_beta","subjects","parameter","observed_effectsize_alpha","observed_effectsize_beta"
"1","session1",-13.6430542136831,10.7871985106488,2.35928166449607,0.0339804737222779,0.721993969383857,0.433997853293534,0.307634639023695,1,1,100,-0.224027569530295,-0.912125555217576,1,3.83184466814831,1,-10.32343871555,3416,0.2,1,20,"both",-0.224027569530295,-0.912125555217576
"2","session1",-13.6430542136831,10.7871985106488,2.35928166449607,0.0339804737222779,0.721993969383857,0.433997853293534,0.307634639023695,1,1,100,-0.224027569530295,-0.912125555217576,1,5.13708566013907,1,-13.7812761117,3416,0.2,1,20,"both",-0.224027569530295,-0.912125555217576
"3","session1",-13.6430542136831,10.7871985106488,2.35928166449607,0.0339804737222779,0.721993969383857,0.433997853293534,0.307634639023695,1,1,100,-0.224027569530295,-0.912125555217576,1,3.52312864344632,0,-17.015947488,3416,0.2,1,20,"both",-0.224027569530295,-0.912125555217576
"4","session1",-13.6430542136831,10.7871985106488,2.35928166449607,0.0339804737222779,0.721993969383857,0.433997853293534,0.307634639023695,1,1,100,-0.224027569530295,-0.912125555217576,1,4.93850071481541,0,-13.3569468434,3416,0.2,1,20,"both",-0.224027569530295,-0.912125555217576
"5","session1",-13.6430542136831,10.7871985106488,2.35928166449607,0.0339804737222779,0.721993969383857,0.433997853293534,0.307634639023695,1,1,100,-0.224027569530295,-0.912125555217576,1,2.22676634474553,1,30.1814,3416,0.2,1,20,"both",-0.224027569530295,-0.912125555217576
"6","session1",-13.6430542136831,10.7871985106488,2.35928166449607,0.0339804737222779,0.721993969383857,0.433997853293534,0.307634639023695,1,1,100,-0.224027569530295,-0.912125555217576,1,2.97126827422139,1,-32.80552,3416,0.2,1,20,"both",-0.224027569530295,-0.912125555217576
"7","session1",-13.6430542136831,10.7871985106488,2.35928166449607,0.0339804737222779,0.721993969383857,0.433997853293534,0.307634639023695,1,1,100,-0.224027569530295,-0.912125555217576,1,1.90414838839556,1,4.04463,3416,0.2,1,20,"both",-0.224027569530295,-0.912125555217576
"8","session1",-13.6430542136831,10.7871985106488,2.35928166449607,0.0339804737222779,0.721993969383857,0.433997853293534,0.307634639023695,1,1,100,-0.224027569530295,-0.912125555217576,1,2.1161705317289,1,46.3241,3416,0.2,1,20,"both",-0.224027569530295,-0.912125555217576
"9","session1",-13.6430542136831,10.7871985106488,2.35928166449607,0.0339804737222779,0.721993969383857,0.433997853293534,0.307634639023695,1,1,100,-0.224027569530295,-0.912125555217576,1,3.29152901290743,0,-45.6271,3416,0.2,1,20,"both",-0.224027569530295,-0.912125555217576
"10","session1",-13.6430542136831,10.7871985106488,2.35928166449607,0.0339804737222779,0.721993969383857,0.433997853293534,0.307634639023695,1,1,100,-0.224027569530295,-0.912125555217576,1,4.67590215755688,0,-23.21939,3416,0.2,1,20,"both",-0.224027569530295,-0.912125555217576
