"","session","alpha","beta","betart","lapse","intercept","sigma","ndt","participant_id","sessions","trials","alpha_obs_power","beta_obs_power","n","rts","resp","X","iter","real_effectsize_alpha","real_effectsize_beta","subjects","parameter","observed_effectsize_alpha","observed_effectsize_beta"
"1","session1",-9.48683226003267,16.6622740903725,2.93075055624826,0.00525623353050272,0.744613846539427,0.344589919264702,0.16124653879286,1,1,100,1.0723882379722,-0.0857409993386994,1,2.69254720706629,1,10.25652232451,2106,1,0.4,20,"both",1.0723882379722,-0.0857409993386994
"2","session1",-9.48683226003267,16.6622740903725,2.93075055624826,0.00525623353050272,0.744613846539427,0.344589919264702,0.16124653879286,1,1,100,1.0723882379722,-0.0857409993386994,1,3.55264167105471,1,-5.04760444648,2106,1,0.4,20,"both",1.0723882379722,-0.0857409993386994
"3","session1",-9.48683226003267,16.6622740903725,2.93075055624826,0.00525623353050272,0.744613846539427,0.344589919264702,0.16124653879286,1,1,100,1.0723882379722,-0.0857409993386994,1,6.20605711666454,0,-14.29859017637,2106,1,0.4,20,"both",1.0723882379722,-0.0857409993386994
"4","session1",-9.48683226003267,16.6622740903725,2.93075055624826,0.00525623353050272,0.744613846539427,0.344589919264702,0.16124653879286,1,1,100,1.0723882379722,-0.0857409993386994,1,3.2413163561713,0,-7.53002773087,2106,1,0.4,20,"both",1.0723882379722,-0.0857409993386994
"5","session1",-9.48683226003267,16.6622740903725,2.93075055624826,0.00525623353050272,0.744613846539427,0.344589919264702,0.16124653879286,1,1,100,1.0723882379722,-0.0857409993386994,1,2.28123475958816,0,-48.115,2106,1,0.4,20,"both",1.0723882379722,-0.0857409993386994
"6","session1",-9.48683226003267,16.6622740903725,2.93075055624826,0.00525623353050272,0.744613846539427,0.344589919264702,0.16124653879286,1,1,100,1.0723882379722,-0.0857409993386994,1,4.47642552619681,1,-1.89408,2106,1,0.4,20,"both",1.0723882379722,-0.0857409993386994
"7","session1",-9.48683226003267,16.6622740903725,2.93075055624826,0.00525623353050272,0.744613846539427,0.344589919264702,0.16124653879286,1,1,100,1.0723882379722,-0.0857409993386994,1,4.86361233700026,0,-22.46478,2106,1,0.4,20,"both",1.0723882379722,-0.0857409993386994
"8","session1",-9.48683226003267,16.6622740903725,2.93075055624826,0.00525623353050272,0.744613846539427,0.344589919264702,0.16124653879286,1,1,100,1.0723882379722,-0.0857409993386994,1,6.92595197031032,0,-9.29523,2106,1,0.4,20,"both",1.0723882379722,-0.0857409993386994
"9","session1",-9.48683226003267,16.6622740903725,2.93075055624826,0.00525623353050272,0.744613846539427,0.344589919264702,0.16124653879286,1,1,100,1.0723882379722,-0.0857409993386994,1,5.85589564047913,0,-0.395510000000001,2106,1,0.4,20,"both",1.0723882379722,-0.0857409993386994
"10","session1",-9.48683226003267,16.6622740903725,2.93075055624826,0.00525623353050272,0.744613846539427,0.344589919264702,0.16124653879286,1,1,100,1.0723882379722,-0.0857409993386994,1,1.11107409398109,1,30.674375,2106,1,0.4,20,"both",1.0723882379722,-0.0857409993386994
"11","session1",-9.48683226003267,16.6622740903725,2.93075055624826,0.00525623353050272,0.744613846539427,0.344589919264702,0.16124653879286,1,1,100,1.0723882379722,-0.0857409993386994,1,7.37063052182746,1,1.5567426627,2106,1,0.4,20,"both",1.0723882379722,-0.0857409993386994
