"","alpha","beta","lapse","model","structure"
"1","0.48 [0.34 ; 0.60]","-0.01 [-0.06 ; 0.05]",FALSE,"Binary","Single"
"2","0.50 [0.39 ; 0.62]","0.01 [-0.06 ; 0.10]",TRUE,"Binary","Single"
"3","0.52 [0.39 ; 0.64]","-0.00 [-0.10 ; 0.06]",FALSE,"RT","Single"
"4","0.52 [0.39 ; 0.65]","0.01 [-0.11 ; 0.10]",TRUE,"RT","Single"
"5","0.52 [0.41 ; 0.64]","0.00 [-0.14 ; 0.17]",FALSE,"RT+Conf","Single"
"6","0.52 [0.40 ; 0.62]","0.03 [-0.13 ; 0.22]",TRUE,"RT+Conf","Single"
"7","0.51 [0.41 ; 0.59]","0.23 [0.01 ; 0.45]",TRUE,"Binary","Hierarchical"
"8","0.49 [0.39 ; 0.58]","0.26 [0.09 ; 0.41]",TRUE,"RT","Hierarchical"
"9","0.48 [0.39 ; 0.57]","0.21 [0.06 ; 0.36]",TRUE,"RT+Conf","Hierarchical"
"10","0.54 [0.49 ; 0.58]","0.19 [-0.01 ; 0.42]",TRUE,"Binary","Nested Hierarchical"
"11","0.54 [0.51 ; 0.57]","0.27 [0.07 ; 0.45]",TRUE,"RT","Nested Hierarchical"
"12","0.55 [0.53 ; 0.58]","0.20 [0.06 ; 0.37]",TRUE,"RT+Conf","Nested Hierarchical"
